Km,Vmax,activity,X,IR,pot2,ph,temp,dstr,lgCmin,lgCmax,Cmin,Cmax,lgCconst,Cconst,lgCcat,Ccat,lgvolume,MolWt,PEOE_VSA7,PEOE_VSA9,VSA_EState8,Kappa2,BalabanJ,MinAbsEStateIndex,MinEStateIndex,EState_VSA6,VSA_EState4,PEOE_VSA8,MinPartialCharge,EState_VSA4,SMR_VSA7,Complexity1,TPSA1,TPSA2,TPSA,XLogP,MaxEStateIndex.1,MaxEStateIndex.2,MinPartialCharge.1,MaxPartialCharge.1,BCUT2D_CHGLO,id
,,1.0,,,,6.8,25.0,,,,,,,,,,,361.5260000000001,47.56776470308624,6.606881964512918,16.139505897266314,9.768258670278554,3.5027775493950797e-07,0.052845849561893976,0.052845849561893976,11.099864620670926,1.8030821582918444,12.965578028838586,-0.4912062098198338,25.1359114850485,42.60781033896238,92.0,40.5,,49.8,,8.850092592592592,,-0.5042598950511764,0.1571515797649047,-2.326264447203505,10057
,,1.0,,,,6.5,1.0,,,,,,,,,,,111.14399999999999,12.620776512746458,0.0,4.36162037037037,1.9872284056064253,2.53668197930634,0.20833333333333348,0.20833333333333348,11.099864620670926,0.0,12.965578028838586,-0.3196712290418209,12.965578028838586,12.778890573418945,209.0,37.3,40.5,20.3,0.4,10.568981481481481,6.0,-0.5041216778415821,0.2196039231485881,-2.048432760843659,10058
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10059
13.0,,1.0,,,,6.5,25.0,,,,,,0.6989700043360189,5.0,,,,,,,,,,,,,,,,,,,40.5,29.5,,,6.0,8.98550925925926,-0.254557430614467,-0.254557430614467,,10060
0.18,6.73e-05,1.0,,,,7.4,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,40.5,52.0,,,6.0,5.992738620139414,-0.254557430614467,-0.254557430614467,,10061
0.002,1400000000.0,1.0,,,,7.4,25.0,,,,,,,,,,,,,,,,,,,,,,,,,226.0,52.0,40.5,,,5.992738620139414,6.0,-0.39829862998965665,0.03733732813242442,,10062
0.0064,1900000000.0,1.0,,,,6.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,226.0,52.0,40.5,,,5.992738620139414,6.0,-0.39829862998965665,0.03733732813242442,,10063
,,1.0,,,,6.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,226.0,52.0,40.5,,,5.992738620139414,6.0,-0.39829862998965665,0.03733732813242442,,10064
,,1.0,,,,6.5,25.0,,,,,,,,,,,,,,,,,,,,,,,,,226.0,52.0,40.5,,,5.992738620139414,6.0,-0.39829862998965665,0.03733732813242442,,10065
,,1.0,,,,,25.0,3.0,-3.3010299956639813,0.0,0.0005,1.0,1.0,10.0,,,1.193820026016113,,,,,,,,,,,,,,,226.0,52.0,40.5,,,5.992738620139414,6.0,-0.39829862998965665,0.03733732813242442,,10066
0.69,,1.0,2.0,,,7.0,5.0,,-3.0,-2.0,0.001,0.01,0.17609125905568124,1.5,,,,,,,,,,,,,,,,,,,40.5,52.0,,,6.0,5.992738620139414,-0.254557430614467,-0.254557430614467,,10067
0.69,,1.0,2.0,,,7.0,5.0,,-3.0,-2.0,0.001,0.01,0.17609125905568124,1.5,,,,,,,,,,,,,,,,,,226.0,52.0,40.5,,,5.992738620139414,6.0,-0.39829862998965665,0.03733732813242442,,10068
1.0,,1.0,2.0,,,7.0,5.0,,-3.0,-2.0,0.001,0.01,0.17609125905568124,1.5,,,,,,,,,,,,,,,,,,,40.5,52.0,,,6.0,5.992738620139414,-0.254557430614467,-0.254557430614467,,10069
1.0,,1.0,2.0,,,7.0,5.0,,-3.0,-2.0,0.001,0.01,0.17609125905568124,1.5,,,,,,,,,,,,,,,,,,226.0,52.0,40.5,,,5.992738620139414,6.0,-0.39829862998965665,0.03733732813242442,,10070
0.05,0.1,1.0,2.75,1.1142857142857143,-0.015428571428571427,7,25.0,3.0,-2.0,-1.0,0.01,0.1,0.0,1.0,-2.0,0.01,6.0,258.069,0.0,5.969305287951849,0.0,11.45982806396906,-2.399999741500029e-07,0.0,-2.9745370370370363,0.0,-2.9745370370370363,24.780253821755714,-0.5500418155619469,0.0,0.0,,40.5,52.0,141.0,,6.0,5.992738620139414,-0.254557430614467,-0.254557430614467,,10071
0.05,0.1,1.0,2.75,1.1142857142857143,-0.015428571428571427,7,25.0,3.0,-2.0,-1.0,0.01,0.1,0.0,1.0,-2.0,0.01,6.0,258.069,0.0,5.969305287951849,0.0,11.45982806396906,-2.399999741500029e-07,0.0,-2.9745370370370363,0.0,-2.9745370370370363,24.780253821755714,-0.5500418155619469,0.0,0.0,226.0,52.0,40.5,141.0,,5.992738620139414,6.0,-0.39829862998965665,0.03733732813242442,,10072
,,1.0,2.6266666666666665,,0.0,,35.0,3.0,,,,,,,,,5.862727528317975,,,,,,,,,,,,,,,,,,,,,,,,,10073
,,1.0,,,,,35.0,3.0,,,,,,,,,5.933170815866544,,,,,,,,,,,,,,,,,,,,,,,,,10074
,,1.0,,,,,,3.0,,,,,,,,,6.237543738142874,111.14399999999999,12.620776512746458,0.0,4.36162037037037,1.9872284056064253,2.53668197930634,0.20833333333333348,0.20833333333333348,11.099864620670926,0.0,12.965578028838586,-0.3196712290418209,12.965578028838586,12.778890573418945,,,,20.3,0.4,,,,,-2.048432760843659,10075
,,1.0,,,,6.5,,3.0,,,,,,,,,6.29073003902417,93.55699999999999,0.0,0.0,3.9375,9.007600565642283,0.0,0.0,0.0,6.076020106833881,4.909722222222222,6.544756405912575,-0.3270522846975318,0.0,12.654955790432378,,,,26.0,,,,,,-1.6062332057860043,10076
