Km,Vmax,activity,X,IR,pot2,ph,temp,dstr,lgCmin,lgCmax,Cmin,Cmax,lgCconst,Cconst,lgCcat,Ccat,lgvolume,MolWt,PEOE_VSA7,PEOE_VSA9,VSA_EState8,Kappa2,BalabanJ,MinAbsEStateIndex,MinEStateIndex,EState_VSA6,VSA_EState4,PEOE_VSA8,MinPartialCharge,EState_VSA4,SMR_VSA7,Complexity1,TPSA1,TPSA2,TPSA,XLogP,MaxEStateIndex.1,MaxEStateIndex.2,MinPartialCharge.1,MaxPartialCharge.1,BCUT2D_CHGLO,id
97.02,29.67,peroxidase,2.2,0.73,0.0,4.0,20.0,3.0,,,,,-0.9030899869919435,0.125,,,2.0437237121267615,,,,,,,,,,,,,,,,40.5,52.0,,,6.0,5.992738620139414,-0.254557430614467,-0.254557430614467,,10039
,,catalase,2.28,0.94,0.0,,35.0,3.0,,,,,,,,,4.8061799739838875,340.325,6.923737199690624,45.74525817482581,2.385334939531368,12.049096620517206,4.233333222715911e-07,0.019722222222222863,-1.417962962962963,0.0,0.0,0.0,-0.5050473004212116,0.0,11.518329743312352,,,,165.9,,,,,,-2.133673376145072,10040
,,catalase,2.63,1.1357142857142857,,,25.0,3.0,,,,,,,,,6.0,282.4679999999999,32.10410811463005,0.0,2.2588285896844735,16.264914881933006,3.066157800884338,0.33150677890982094,-0.6642338559142937,0.0,0.0,6.4208216229260096,-0.4812303897852169,12.841643245852019,12.152040213667762,,,,37.3,6.5,,,,,-1.987595192117485,10041
22.17,,peroxidase,2.28,0.94,0.0,4.0,50.0,3.0,-inf,1.0,0.0,10.0,,,-3.3010299956639813,0.0005,2.709269960975831,329.56900000000013,38.648864520542624,13.213763929025836,2.8910175253113897,26.513902702128963,0.0,0.125,-0.125,0.0,5.473640836826354,0.0,-0.3939905415754596,6.544756405912575,12.152040213667762,,40.5,52.0,66.5,,6.0,5.992738620139414,-0.254557430614467,-0.254557430614467,-1.991144633838227,10042
,,catalase,2.28,0.94,0.0,2-11,,3.0,-inf,1.4771212547196624,0.0,30.0,,,,,2.709269960975831,329.56900000000013,38.648864520542624,13.213763929025836,2.8910175253113897,26.513902702128963,0.0,0.125,-0.125,0.0,5.473640836826354,0.0,-0.3939905415754596,6.544756405912575,12.152040213667762,,40.5,,66.5,,6.0,,-0.254557430614467,-0.254557430614467,-1.991144633838227,10043
,,oxidase,2.28,0.94,0.0,,,3.0,0.0,0.6020599913279624,1.0,4.0,,,,,2.709269960975831,329.56900000000013,38.648864520542624,13.213763929025836,2.8910175253113897,26.513902702128963,0.0,0.125,-0.125,0.0,5.473640836826354,0.0,-0.3939905415754596,6.544756405912575,12.152040213667762,151.0,110.0,,66.5,,9.119537037037038,,-0.3935665160029449,0.183570328512782,-1.991144633838227,10044
,,superoxide dismutase,2.28,0.94,0.0,,,3.0,,,,,,,,,2.709269960975831,329.56900000000013,38.648864520542624,13.213763929025836,2.8910175253113897,26.513902702128963,0.0,0.125,-0.125,0.0,5.473640836826354,0.0,-0.3939905415754596,6.544756405912575,12.152040213667762,,,,66.5,,,,,,-1.991144633838227,10045
0.01,0.001,peroxidase,2.54,1.51,0.0,6.0,25.0,3.0,-2.0,0.0,0.01,1.0,-1.0,0.1,-2.0,0.01,6.0,164.20099999999996,6.923737199690624,39.13837621031289,3.056677532123961,7.941626016260162,3.017123749997145,0.019722222222222863,-0.019722222222222863,0.0,0.0,0.0,-0.3939803225759767,0.0,0.0,226.0,52.0,40.5,58.9,-1.0,5.992738620139414,6.0,-0.39829862998965665,0.03733732813242442,-2.109027660636782,10046
0.01,0.001,peroxidase,2.54,1.51,0.0,6.0,25.0,3.0,-2.0,0.0,0.01,1.0,-1.0,0.1,-2.0,0.01,6.0,164.20099999999996,6.923737199690624,39.13837621031289,3.056677532123961,7.941626016260162,3.017123749997145,0.019722222222222863,-0.019722222222222863,0.0,0.0,0.0,-0.3939803225759767,0.0,0.0,226.0,52.0,40.5,58.9,-1.0,5.992738620139414,6.0,-0.39829862998965665,0.03733732813242442,-2.109027660636782,10047
,,catalase,2.6031034482758626,0.8317241379310344,-0.14137931034482756,6.5,25.0,3.0,,,,,0.0,1.0,,,5.70926996097583,111.14399999999999,12.620776512746458,0.0,4.36162037037037,1.9872284056064253,2.53668197930634,0.20833333333333348,0.20833333333333348,11.099864620670926,0.0,12.965578028838586,-0.3196712290418209,12.965578028838586,12.778890573418945,,40.5,,20.3,0.4,6.0,,-0.254557430614467,-0.254557430614467,-2.048432760843659,10048
